train,catch,96-_Torwarttraining_1_catch_f_cm_np1_le_bad_0,61
train,catch,Ballfangen_catch_u_cm_np1_fr_goo_0,53
train,catch,Ballfangen_catch_u_cm_np1_fr_goo_1,36
train,catch,Ballfangen_catch_u_cm_np1_fr_goo_2,36
train,catch,Ball_hochwerfen_-_Rolle_-_Ball_fangen_(Timo_3)_catch_f_cm_np1_le_goo_0,38
train,catch,Ball_hochwerfen_-_Rolle_-_Ball_fangen_(Timo_3)_catch_f_cm_np1_ri_med_1,40
train,catch,Behinderten_Sport_part_2_catch_f_cm_np1_fr_bad_0,31
train,catch,Behinderten_Sport_part_2_catch_f_cm_np1_ri_bad_1,32
train,catch,Faith_Rewarded_catch_f_cm_np1_fr_med_10,44
train,catch,Finding_Forrester_3_catch_f_nm_np2_ba_med_7,77
train,catch,Finding_Forrester_3_catch_u_cm_np1_fr_goo_11,41
train,catch,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_f_cm_np1_ri_med_0,30
train,catch,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_f_cm_np1_ri_med_2,33
train,catch,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_f_cm_np1_ri_med_4,33
train,catch,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_u_cm_np1_le_med_1,33
train,catch,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_u_cm_np1_le_med_3,35
train,catch,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_u_cm_np1_le_med_5,33
train,catch,Frisbee_catch_f_cm_np1_fr_bad_2,36
train,catch,Frisbee_catch_f_cm_np1_ri_med_1,53
train,catch,Goalkeeper_Training_Day_#_2_catch_f_cm_np1_ba_bad_3,40
train,catch,Goalkeeper_Training_Day_#_2_catch_f_cm_np1_ba_bad_4,43
train,catch,Goalkeeper_Training_Day_#_2_catch_f_cm_np1_ba_bad_5,33
train,catch,Goalkeeper_Training_Day_#_2_catch_f_cm_np1_fr_bad_0,43
train,catch,Goalkeeper_Training_Day_#_2_catch_f_cm_np1_fr_bad_1,43
train,catch,Goalkeeper_Training_Day_#_2_catch_f_cm_np1_fr_bad_2,37
train,catch,Goalkeeper_Training_Day_#_7_catch_f_cm_np1_ba_bad_2,40
train,catch,Goalkeeper_Training_Day_#_7_catch_f_cm_np1_le_bad_3,40
train,catch,Goalkeeper_Training_Day_#_7_catch_f_cm_np1_ri_med_0,40
train,catch,Goalkeeper_Training_Day_#_7_catch_f_nm_np1_ri_bad_4,55
train,catch,Goal_Keeping_Tips_catch_f_cm_np1_fr_med_0,70
train,catch,Goal_Keeping_Tips_catch_f_cm_np1_fr_med_2,61
train,catch,Goal_Keeping_Tips_catch_u_cm_np1_fr_med_1,58
train,catch,Goal_Keeping_Tips_catch_u_cm_np1_fr_med_3,73
train,catch,Handball_Passtraining_in_der_Zweiergruppe_(1)_catch_f_cm_np1_le_bad_1,36
train,catch,Handball_Passtraining_in_der_Zweiergruppe_(1)_catch_f_cm_np1_le_med_0,29
